lat,lng,countyName,city,state
44.3622,-98.2102,BEADLE,HURON,SD
35.0723,-85.0546,HAMILTON,OOLTEWAH,TN
39.6702,-74.2338,OCEAN,BEACH HAVEN WEST,NJ
35.9474,-75.6274,DARE,NAGS HEAD,NC
39.4251,-84.2135,WARREN,LEBANON,OH
41.0117,-75.6068,CARBON,ALBRIGHTSVILLE,PA
40.9466,-73.8674,WESTCHESTER,YONKERS,NY
27.7931,-82.6652,PINELLAS,ST. PETERSBURG,FL
43.0314,-83.1607,LAPEER,ATTICA,MI
42.0639,-88.1468,COOK,HOFFMAN ESTATES,IL
35.2494,-81.1853,GASTON,GASTONIA,NC
39.3952,-86.5627,MORGAN,PARAGON,IN
39.5974,-77.818,WASHINGTON,WILLIAMSPORT,MD
34.2855,-118.877,VENTURA,MOORPARK,CA
41.8349,-73.1281,LITCHFIELD,TORRINGTON,CT
29.2487,-94.891,GALVESTON,GALVESTON,TX
43.2343,-88.1217,WASHINGTON,GERMANTOWN,WI
38.5557,-121.5504,YOLO,WEST SACRAMENTO,CA
38.665,-78.4546,PAGE,LURAY,VA
41.2278,-111.9682,WEBER,OGDEN,UT
38.7824,-90.6061,ST. CHARLES,ST. PETERS,MO
37.7306,-84.2926,MADISON,RICHMOND,KY
32.5992,-114.5488,YUMA,YUMA,AZ
37.3689,-81.0961,MERCER,PRINCETON,WV
39.3718,-74.5543,ATLANTIC,NORTHFIELD,NJ
39.771,-89.6538,SANGAMON,SPRINGFIELD,IL
40.741,-84.1121,ALLEN,LIMA,OH
34.585,-112.4475,YAVAPAI,PRESCOTT,AZ
46.0978,-91.8263,WASHBURN,MINONG,WI
39.2624,-81.542,WOOD,PARKERSBURG,WV
41.2627,-96.0522,DOUGLAS,OMAHA,NE
43.0617,-124.1326,COOS,MYRTLE POINT,OR
38.8674,-104.7606,EL PASO,COLORADO SPRINGS,CO
33.7542,-118.0714,ORANGE,SEAL BEACH,CA
44.0524,-71.1247,CARROLL,NORTH CONWAY,NH
39.7907,-77.7267,FRANKLIN,GREENCASTLE,PA
41.2398,-77.0371,LYCOMING,WILLIAMSPORT,PA
43.3237,-88.166,WASHINGTON,JACKSON,WI
39.5796,-77.0066,CARROLL,WESTMINSTER,MD
36.4931,-88.8835,OBION,SOUTH FULTON,TN
39.6733,-89.6938,SANGAMON,CHATHAM,IL
41.9295,-73.9968,ULSTER,KINGSTON,NY
40.9956,-80.3459,LAWRENCE,NEW CASTLE,PA
34.7256,-92.3576,PULASKI,LITTLE ROCK,AR
33.2589,-87.5984,TUSCALOOSA,NORTHPORT,AL
40.3412,-76.4227,LEBANON,LEBANON,PA
38.0487,-84.7259,WOODFORD,VERSAILLES,KY
37.1411,-80.4028,MONTGOMERY,CHRISTIANSBURG,VA
33.2247,-117.3083,SAN DIEGO,OCEANSIDE,CA
48.7543,-122.4687,WHATCOM,BELLINGHAM,WA
28.5402,-81.7259,LAKE,CLERMONT,FL
36.0285,-83.4308,JEFFERSON,DANDRIDGE,TN
33.9448,-118.1926,LOS ANGELES,SOUTH GATE,CA
40.201,-76.7289,DAUPHIN,MIDDLETOWN,PA
40.6441,-75.3244,NORTHAMPTON,MIDDLETOWN,PA
39.0902,-78.223,FREDERICK,STEPHENS CITY,VA
30.7427,-98.064,BURNET,BERTRAM,TX
43.2281,-86.2563,MUSKEGON,MUSKEGON,MI
45.8323,-119.2858,UMATILLA,HERMISTON,OR
46.2444,-119.9091,YAKIMA,GRANDVIEW,WA
40.3655,-76.1864,BERKS,WOMELSDORF,PA
21.4062,-157.7904,HONOLULU,KANEOHE,HI
41.3113,-81.1429,PORTAGE,HIRAM,OH
45.7891,-108.5524,YELLOWSTONE,BILLINGS,MT
40.3258,-78.9193,CAMBRIA,JOHNSTOWN,PA
48.2156,-114.3262,FLATHEAD,KALISPELL,MT
48.9135,-122.1048,WHATCOM,MAPLE FALLS,WA
33.427,-79.1245,GEORGETOWN,PAWLEYS ISLAND,SC
38.1939,-79.0087,AUGUSTA,VERONA,VA
41.1613,-81.2421,PORTAGE,RAVENNA,OH
28.1085,-80.6627,BREVARD,MELBOURNE,FL
29.4658,-98.5253,BEXAR,SAN ANTONIO,TX
41.6949,-73.921,DUTCHESS,POUGHKEEPSIE,NY
45.413,-122.7003,CLACKAMAS,LAKE OSWEGO,OR
37.4003,-79.1909,LYNCHBURG,LYNCHBURG,VA
36.8945,-76.259,NORFOLK,NORFOLK,VA
34.3744,-77.6322,PENDER,TOPSAIL BEACH,NC
36.0939,-87.7846,HUMPHREYS,WAVERLY,TN
40.7656,-82.5275,RICHLAND,MANSFIELD,OH
